full_text,class
@sobat_anies 2. Keliru,1
@dccomm_gov Padat,0
"@islah_bahrawi @kangdede78 Pakar radikal radikul kok bawakata agama sih ðŸ˜‚ Kalo pendukung anies bawa""agama gak dibolehin ama lu mbak islah?""",1
"@lengkongtweets @Avolanza Emg otak bengkok lu ya, panas juga gue, asal lu tau akun tiktok gue udah 11k follower ke take down karen gue posting ttg perubahan anies baswedan dan penderitaa israhell.. jgn asal bacot lu.. stiap tulisan ada pertanggung jawaban di akhirat, paham agama islm gak lu.. marah kan ak",1
"Puji Anies Baswedan sebagai Pemimpin Masa Depan, Tokoh Muhammadiyah Optimistis Menang di Kandang Banteng https://t.co/UW0GqSISIB https://t.co/UW0GqSISIB",2
"@OposisiCerdas Utk itulah Indonesia butuh perubahan, ganti presiden dgn sosok yg tdk terafiliasi dgn rezim sekarang.  Solusi utk memperbaiki carut marut bangsa ini adalah pilih ANIES jadi presiden pada pilpres 2024 nanti.",2
mimpi pak aniesðŸ¤£,1
"@andre_rosiade @saifulmujani Kok goblok amat sih!! Lihat kenyataan, sejak dari Bukittingi sampai Aceh sana berjubel rakyat menyambut Anies, ini malah masih percaya survei gadungan",1
@detikcom Tipikal Anies Baswedan banget.... Suka nebeng....,1
Sunggulah harum si daun pandan. Daun dibuat bikin ketupat . Inilah dia pak Anies Baswedan. Presiden kita di 2024. ðŸ‘ðŸ˜‚ https://t.co/MaxR82NxHv,2
"@Tita83079013 Begitu indahnya Indonesia ini. Sehingg Manusia bejat dan minoritas seperti si @Tita83079013 ini seenak jidatnya memprovokasi ummat Islam yang sedang berduka karena saudaranya di Palestina dibantai. Kita bandingkan kalau dia yang mayoritas seperti di Myanmar, China, Amerika.",1
InsyaAllah Anies,2
"@Geyelicius @fotodakwah Jilat terus..  Hizbullah yg Syiah saja lebih berguna drpd rezim Wahabi yg kalian jilat  Mrk mmg Syiah, terlepas dr taqiyah mrk, setidaknya mereka melepaskan roket dan rudal ke Israel  Kalian menangkis roket ke Israel",1
"@ganjarpranowo Padahal bukannya partai paling banyak kader nye di tangkap adalah PDI P, Insya Allah Anies RI.1",2
Trick pak jokowi sudah bisa di baca  Dia mau si ganjar pranowo menang  Tapi dia ga mau anies ada harapan  Jadi dia majukan Anak nya dan prabowo,1
@NovalAssegaf mudah mudahan pa Anies terpilih menjadi pemimpin Indonesia agar bisa bersama dengan Erdogan ðŸ¤²,2
"@tvOneNews Dulu berantakan krna di pimpin si merah, skrng mau di pimpin si merah lagiâ€¦ogah ah, Insya Allah Anies RI.1",2
Pasca putusan MK tema keberlanjutan akan diusung oleh Prabowo kubu Ganjar mulai pudar dengan tema ini  tema yg diciptakan kedepan nanti adalah yg pro politik dinasti (Prabowo) melawan yg anti dinasti (Ganjar Anies)  itu akan otomatis terbentuk di masyarakat,0
